check,status,details
trade_0027:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0027:entry_price,OK,"actual=9429.0, expected=9429.0"
trade_0027:entry_date_matches_index,OK,"actual=2017-01-24 00:00:00, index_dt=2017-01-24 00:00:00"
trade_0027:exit_bar_index,OK,"actual=521, expected=521"
trade_0027:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0027:exit_price,OK,"actual=9759.0, expected=9759.0"
trade_0027:pnl_points,OK,"actual=330.0, expected=330.0"
trade_0027:pnl_amount,OK,"actual=16460.0, expected=16460.0"
trade_0028:entry_is_next_bar,OK,"signal_i=534, entry_i=535"
trade_0028:entry_after_signal_date,OK,"signal=2017-03-17 00:00:00, entry=2017-03-20 00:00:00"
trade_0028:exit_not_before_entry,OK,"entry_i=535, exit_i=542"
trade_0028:signal_column_true,OK,long_entry@534
trade_0028:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0028:entry_price,OK,"actual=9874.0, expected=9874.0"
trade_0028:entry_date_matches_index,OK,"actual=2017-03-20 00:00:00, index_dt=2017-03-20 00:00:00"
trade_0028:exit_bar_index,OK,"actual=542, expected=542"
trade_0028:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0028:exit_price,OK,"actual=9859.0, expected=9859.0"
trade_0028:pnl_points,OK,"actual=-15.0, expected=-15.0"
trade_0028:pnl_amount,OK,"actual=-790.0, expected=-790.0"
trade_0029:entry_is_next_bar,OK,"signal_i=561, entry_i=562"
trade_0029:entry_after_signal_date,OK,"signal=2017-04-27 00:00:00, entry=2017-04-28 00:00:00"
trade_0029:exit_not_before_entry,OK,"entry_i=562, exit_i=577"
trade_0029:signal_column_true,OK,long_entry@561
trade_0029:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0029:entry_price,OK,"actual=9847.0, expected=9847.0"
trade_0029:entry_date_matches_index,OK,"actual=2017-04-28 00:00:00, index_dt=2017-04-28 00:00:00"
trade_0029:exit_bar_index,OK,"actual=577, expected=577"
trade_0029:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0029:exit_price,OK,"actual=9974.0, expected=9974.0"
trade_0029:pnl_points,OK,"actual=127.0, expected=127.0"
trade_0029:pnl_amount,OK,"actual=6310.0, expected=6310.0"
trade_0030:entry_is_next_bar,OK,"signal_i=579, entry_i=580"
trade_0030:entry_after_signal_date,OK,"signal=2017-05-24 00:00:00, entry=2017-05-25 00:00:00"
trade_0030:exit_not_before_entry,OK,"entry_i=580, exit_i=592"
trade_0030:signal_column_true,OK,long_entry@579
trade_0030:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0030:entry_price,OK,"actual=10042.0, expected=10042.0"
trade_0030:entry_date_matches_index,OK,"actual=2017-05-25 00:00:00, index_dt=2017-05-25 00:00:00"
trade_0030:exit_bar_index,OK,"actual=592, expected=592"
trade_0030:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0030:exit_price,OK,"actual=10134.0, expected=10134.0"
trade_0030:pnl_points,OK,"actual=92.0, expected=92.0"
trade_0030:pnl_amount,OK,"actual=4560.0, expected=4560.0"
trade_0031:entry_is_next_bar,OK,"signal_i=597, entry_i=598"
trade_0031:entry_after_signal_date,OK,"signal=2017-06-20 00:00:00, entry=2017-06-21 00:00:00"
trade_0031:exit_not_before_entry,OK,"entry_i=598, exit_i=605"
trade_0031:signal_column_true,OK,long_entry@597
trade_0031:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0031:entry_price,OK,"actual=10272.0, expected=10272.0"
trade_0031:entry_date_matches_index,OK,"actual=2017-06-21 00:00:00, index_dt=2017-06-21 00:00:00"
trade_0031:exit_bar_index,OK,"actual=605, expected=605"
trade_0031:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0031:exit_price,OK,"actual=10253.0, expected=10253.0"
trade_0031:pnl_points,OK,"actual=-19.0, expected=-19.0"
trade_0031:pnl_amount,OK,"actual=-990.0, expected=-990.0"
trade_0032:entry_is_next_bar,OK,"signal_i=614, entry_i=615"
trade_0032:entry_after_signal_date,OK,"signal=2017-07-13 00:00:00, entry=2017-07-14 00:00:00"
trade_0032:exit_not_before_entry,OK,"entry_i=615, exit_i=620"
trade_0032:signal_column_true,OK,long_entry@614
trade_0032:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0032:entry_price,OK,"actual=10419.0, expected=10419.0"
trade_0032:entry_date_matches_index,OK,"actual=2017-07-14 00:00:00, index_dt=2017-07-14 00:00:00"
trade_0032:exit_bar_index,OK,"actual=620, expected=620"
trade_0032:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0032:exit_price,OK,"actual=10326.0, expected=10326.0"
trade_0032:pnl_points,OK,"actual=-93.0, expected=-93.0"
trade_0032:pnl_amount,OK,"actual=-4690.0, expected=-4690.0"
trade_0033:entry_is_next_bar,OK,"signal_i=620, entry_i=621"
trade_0033:entry_after_signal_date,OK,"signal=2017-07-21 00:00:00, entry=2017-07-24 00:00:00"
trade_0033:exit_not_before_entry,OK,"entry_i=621, exit_i=623"
trade_0033:signal_column_true,OK,short_entry@620
trade_0033:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0033:entry_price,OK,"actual=10297.0, expected=10297.0"
trade_0033:entry_date_matches_index,OK,"actual=2017-07-24 00:00:00, index_dt=2017-07-24 00:00:00"
trade_0033:exit_bar_index,OK,"actual=623, expected=623"
trade_0033:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0033:exit_price,OK,"actual=10398.0, expected=10398.0"
trade_0033:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0033:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0034:entry_is_next_bar,OK,"signal_i=631, entry_i=632"
trade_0034:entry_after_signal_date,OK,"signal=2017-08-07 00:00:00, entry=2017-08-08 00:00:00"
trade_0034:exit_not_before_entry,OK,"entry_i=632, exit_i=633"
trade_0034:signal_column_true,OK,long_entry@631
trade_0034:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0034:entry_price,OK,"actual=10553.0, expected=10553.0"
trade_0034:entry_date_matches_index,OK,"actual=2017-08-08 00:00:00, index_dt=2017-08-08 00:00:00"
trade_0034:exit_bar_index,OK,"actual=633, expected=633"
trade_0034:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0034:exit_price,OK,"actual=10452.0, expected=10452.0"
trade_0034:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0034:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0035:entry_is_next_bar,OK,"signal_i=634, entry_i=635"
trade_0035:entry_after_signal_date,OK,"signal=2017-08-10 00:00:00, entry=2017-08-11 00:00:00"
trade_0035:exit_not_before_entry,OK,"entry_i=635, exit_i=635"
trade_0035:signal_column_true,OK,short_entry@634
trade_0035:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0035:entry_price,OK,"actual=10229.0, expected=10229.0"
trade_0035:entry_date_matches_index,OK,"actual=2017-08-11 00:00:00, index_dt=2017-08-11 00:00:00"
trade_0035:exit_bar_index,OK,"actual=635, expected=635"
trade_0035:exit_reason,OK,"actual=chandelier, expected=chandelier"
trade_0035:exit_price,OK,"actual=10304.0, expected=10304.0"
trade_0035:pnl_points,OK,"actual=-75.0, expected=-75.0"
trade_0035:pnl_amount,OK,"actual=-3790.0, expected=-3790.0"
trade_0036:entry_is_next_bar,OK,"signal_i=644, entry_i=645"
trade_0036:entry_after_signal_date,OK,"signal=2017-08-24 00:00:00, entry=2017-08-25 00:00:00"
trade_0036:exit_not_before_entry,OK,"entry_i=645, exit_i=659"
trade_0036:signal_column_true,OK,long_entry@644
trade_0036:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0036:entry_price,OK,"actual=10473.0, expected=10473.0"
trade_0036:entry_date_matches_index,OK,"actual=2017-08-25 00:00:00, index_dt=2017-08-25 00:00:00"
trade_0036:exit_bar_index,OK,"actual=659, expected=659"
trade_0036:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0036:exit_price,OK,"actual=10529.0, expected=10529.0"
trade_0036:pnl_points,OK,"actual=56.0, expected=56.0"
trade_0036:pnl_amount,OK,"actual=2760.0, expected=2760.0"
trade_0037:entry_is_next_bar,OK,"signal_i=661, entry_i=662"
trade_0037:entry_after_signal_date,OK,"signal=2017-09-18 00:00:00, entry=2017-09-19 00:00:00"
trade_0037:exit_not_before_entry,OK,"entry_i=662, exit_i=663"
trade_0037:signal_column_true,OK,long_entry@661
trade_0037:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0037:entry_price,OK,"actual=10649.0, expected=10649.0"
trade_0037:entry_date_matches_index,OK,"actual=2017-09-19 00:00:00, index_dt=2017-09-19 00:00:00"
trade_0037:exit_bar_index,OK,"actual=663, expected=663"
trade_0037:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0037:exit_price,OK,"actual=10548.0, expected=10548.0"
trade_0037:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0037:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0038:entry_is_next_bar,OK,"signal_i=663, entry_i=664"
trade_0038:entry_after_signal_date,OK,"signal=2017-09-20 00:00:00, entry=2017-09-21 00:00:00"
trade_0038:exit_not_before_entry,OK,"entry_i=664, exit_i=674"
trade_0038:signal_column_true,OK,short_entry@663
trade_0038:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0038:entry_price,OK,"actual=10506.0, expected=10506.0"
trade_0038:entry_date_matches_index,OK,"actual=2017-09-21 00:00:00, index_dt=2017-09-21 00:00:00"
trade_0038:exit_bar_index,OK,"actual=674, expected=674"
trade_0038:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0038:exit_price,OK,"actual=10506.0, expected=10506.0"
trade_0038:pnl_points,OK,"actual=-0.0, expected=-0.0"
trade_0038:pnl_amount,OK,"actual=-40.0, expected=-40.0"
trade_0039:entry_is_next_bar,OK,"signal_i=674, entry_i=675"
trade_0039:entry_after_signal_date,OK,"signal=2017-10-05 00:00:00, entry=2017-10-06 00:00:00"
trade_0039:exit_not_before_entry,OK,"entry_i=675, exit_i=694"
trade_0039:signal_column_true,OK,long_entry@674
trade_0039:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0039:entry_price,OK,"actual=10534.0, expected=10534.0"
trade_0039:entry_date_matches_index,OK,"actual=2017-10-06 00:00:00, index_dt=2017-10-06 00:00:00"
trade_0039:exit_bar_index,OK,"actual=694, expected=694"
trade_0039:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0039:exit_price,OK,"actual=10769.0, expected=10769.0"
trade_0039:pnl_points,OK,"actual=235.0, expected=235.0"
trade_0039:pnl_amount,OK,"actual=11710.0, expected=11710.0"
trade_0040:entry_is_next_bar,OK,"signal_i=707, entry_i=708"
trade_0040:entry_after_signal_date,OK,"signal=2017-11-23 00:00:00, entry=2017-11-24 00:00:00"
trade_0040:exit_not_before_entry,OK,"entry_i=708, exit_i=709"
trade_0040:signal_column_true,OK,long_entry@707
trade_0040:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0040:entry_price,OK,"actual=10843.0, expected=10843.0"
trade_0040:entry_date_matches_index,OK,"actual=2017-11-24 00:00:00, index_dt=2017-11-24 00:00:00"
trade_0040:exit_bar_index,OK,"actual=709, expected=709"
trade_0040:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0040:exit_price,OK,"actual=10742.0, expected=10742.0"
trade_0040:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0040:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0041:entry_is_next_bar,OK,"signal_i=710, entry_i=711"
trade_0041:entry_after_signal_date,OK,"signal=2017-11-28 00:00:00, entry=2017-11-29 00:00:00"
trade_0041:exit_not_before_entry,OK,"entry_i=711, exit_i=727"
trade_0041:signal_column_true,OK,short_entry@710
trade_0041:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0041:entry_price,OK,"actual=10747.0, expected=10747.0"
trade_0041:entry_date_matches_index,OK,"actual=2017-11-29 00:00:00, index_dt=2017-11-29 00:00:00"
trade_0041:exit_bar_index,OK,"actual=727, expected=727"
trade_0041:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0041:exit_price,OK,"actual=10497.0, expected=10497.0"
trade_0041:pnl_points,OK,"actual=250.0, expected=250.0"
trade_0041:pnl_amount,OK,"actual=12460.0, expected=12460.0"
trade_0042:entry_is_next_bar,OK,"signal_i=772, entry_i=773"
trade_0042:entry_after_signal_date,OK,"signal=2018-03-06 00:00:00, entry=2018-03-07 00:00:00"
trade_0042:exit_not_before_entry,OK,"entry_i=773, exit_i=773"
trade_0042:signal_column_true,OK,long_entry@772
trade_0042:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0042:entry_price,OK,"actual=10712.0, expected=10712.0"
trade_0042:entry_date_matches_index,OK,"actual=2018-03-07 00:00:00, index_dt=2018-03-07 00:00:00"
trade_0042:exit_bar_index,OK,"actual=773, expected=773"
trade_0042:exit_reason,OK,"actual=chandelier, expected=chandelier"
trade_0042:exit_price,OK,"actual=10709.0, expected=10709.0"
trade_0042:pnl_points,OK,"actual=-3.0, expected=-3.0"
trade_0042:pnl_amount,OK,"actual=-190.0, expected=-190.0"
trade_0043:entry_is_next_bar,OK,"signal_i=785, entry_i=786"
trade_0043:entry_after_signal_date,OK,"signal=2018-03-23 00:00:00, entry=2018-03-26 00:00:00"
trade_0043:exit_not_before_entry,OK,"entry_i=786, exit_i=786"
trade_0043:signal_column_true,OK,short_entry@785
trade_0043:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0043:entry_price,OK,"actual=10689.0, expected=10689.0"
trade_0043:entry_date_matches_index,OK,"actual=2018-03-26 00:00:00, index_dt=2018-03-26 00:00:00"
trade_0043:exit_bar_index,OK,"actual=786, expected=786"
trade_0043:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0043:exit_price,OK,"actual=10790.0, expected=10790.0"
trade_0043:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0043:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0044:entry_is_next_bar,OK,"signal_i=797, entry_i=798"
trade_0044:entry_after_signal_date,OK,"signal=2018-04-12 00:00:00, entry=2018-04-13 00:00:00"
trade_0044:exit_not_before_entry,OK,"entry_i=798, exit_i=800"
trade_0044:signal_column_true,OK,long_entry@797
trade_0044:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0044:entry_price,OK,"actual=10969.0, expected=10969.0"
trade_0044:entry_date_matches_index,OK,"actual=2018-04-13 00:00:00, index_dt=2018-04-13 00:00:00"
trade_0044:exit_bar_index,OK,"actual=800, expected=800"
trade_0044:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0044:exit_price,OK,"actual=10868.0, expected=10868.0"
trade_0044:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0044:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0045:entry_is_next_bar,OK,"signal_i=800, entry_i=801"
trade_0045:entry_after_signal_date,OK,"signal=2018-04-17 00:00:00, entry=2018-04-18 00:00:00"
trade_0045:exit_not_before_entry,OK,"entry_i=801, exit_i=802"
trade_0045:signal_column_true,OK,short_entry@800
trade_0045:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0045:entry_price,OK,"actual=10849.0, expected=10849.0"
trade_0045:entry_date_matches_index,OK,"actual=2018-04-18 00:00:00, index_dt=2018-04-18 00:00:00"
trade_0045:exit_bar_index,OK,"actual=802, expected=802"
trade_0045:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0045:exit_price,OK,"actual=10950.0, expected=10950.0"
trade_0045:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0045:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0046:entry_is_next_bar,OK,"signal_i=882, entry_i=883"
trade_0046:entry_after_signal_date,OK,"signal=2018-08-13 00:00:00, entry=2018-08-14 00:00:00"
trade_0046:exit_not_before_entry,OK,"entry_i=883, exit_i=893"
trade_0046:signal_column_true,OK,short_entry@882
trade_0046:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0046:entry_price,OK,"actual=10793.0, expected=10793.0"
trade_0046:entry_date_matches_index,OK,"actual=2018-08-14 00:00:00, index_dt=2018-08-14 00:00:00"
trade_0046:exit_bar_index,OK,"actual=893, expected=893"
trade_0046:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0046:exit_price,OK,"actual=10946.0, expected=10946.0"
trade_0046:pnl_points,OK,"actual=-153.0, expected=-153.0"
trade_0046:pnl_amount,OK,"actual=-7690.0, expected=-7690.0"
trade_0047:entry_is_next_bar,OK,"signal_i=893, entry_i=894"
trade_0047:entry_after_signal_date,OK,"signal=2018-08-28 00:00:00, entry=2018-08-29 00:00:00"
trade_0047:exit_not_before_entry,OK,"entry_i=894, exit_i=900"
trade_0047:signal_column_true,OK,long_entry@893
trade_0047:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0047:entry_price,OK,"actual=10981.0, expected=10981.0"
trade_0047:entry_date_matches_index,OK,"actual=2018-08-29 00:00:00, index_dt=2018-08-29 00:00:00"
trade_0047:exit_bar_index,OK,"actual=900, expected=900"
trade_0047:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0047:exit_price,OK,"actual=10880.0, expected=10880.0"
trade_0047:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0047:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0048:entry_is_next_bar,OK,"signal_i=901, entry_i=902"
trade_0048:entry_after_signal_date,OK,"signal=2018-09-07 00:00:00, entry=2018-09-10 00:00:00"
trade_0048:exit_not_before_entry,OK,"entry_i=902, exit_i=911"
trade_0048:signal_column_true,OK,short_entry@901
trade_0048:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0048:entry_price,OK,"actual=10859.0, expected=10859.0"
trade_0048:entry_date_matches_index,OK,"actual=2018-09-10 00:00:00, index_dt=2018-09-10 00:00:00"
trade_0048:exit_bar_index,OK,"actual=911, expected=911"
trade_0048:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0048:exit_price,OK,"actual=10960.0, expected=10960.0"
trade_0048:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0048:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0049:entry_is_next_bar,OK,"signal_i=911, entry_i=912"
trade_0049:entry_after_signal_date,OK,"signal=2018-09-21 00:00:00, entry=2018-09-25 00:00:00"
trade_0049:exit_not_before_entry,OK,"entry_i=912, exit_i=918"
trade_0049:signal_column_true,OK,long_entry@911
trade_0049:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0049:entry_price,OK,"actual=10956.0, expected=10956.0"
trade_0049:entry_date_matches_index,OK,"actual=2018-09-25 00:00:00, index_dt=2018-09-25 00:00:00"
trade_0049:exit_bar_index,OK,"actual=918, expected=918"
trade_0049:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0049:exit_price,OK,"actual=10855.0, expected=10855.0"
trade_0049:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0049:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0050:entry_is_next_bar,OK,"signal_i=919, entry_i=920"
trade_0050:entry_after_signal_date,OK,"signal=2018-10-04 00:00:00, entry=2018-10-05 00:00:00"
trade_0050:exit_not_before_entry,OK,"entry_i=920, exit_i=938"
trade_0050:signal_column_true,OK,short_entry@919
trade_0050:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0050:entry_price,OK,"actual=10653.0, expected=10653.0"
trade_0050:entry_date_matches_index,OK,"actual=2018-10-05 00:00:00, index_dt=2018-10-05 00:00:00"
trade_0050:exit_bar_index,OK,"actual=938, expected=938"
trade_0050:exit_reason,OK,"actual=macd_reverse, expected=macd_reverse"
trade_0050:exit_price,OK,"actual=9790.0, expected=9790.0"
trade_0050:pnl_points,OK,"actual=863.0, expected=863.0"
trade_0050:pnl_amount,OK,"actual=43110.0, expected=43110.0"
trade_0051:entry_is_next_bar,OK,"signal_i=965, entry_i=966"
trade_0051:entry_after_signal_date,OK,"signal=2018-12-10 00:00:00, entry=2018-12-11 00:00:00"
trade_0051:exit_not_before_entry,OK,"entry_i=966, exit_i=967"
trade_0051:signal_column_true,OK,short_entry@965
trade_0051:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0051:entry_price,OK,"actual=9655.0, expected=9655.0"
trade_0051:entry_date_matches_index,OK,"actual=2018-12-11 00:00:00, index_dt=2018-12-11 00:00:00"
trade_0051:exit_bar_index,OK,"actual=967, expected=967"
trade_0051:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0051:exit_price,OK,"actual=9756.0, expected=9756.0"
trade_0051:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0051:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0052:entry_is_next_bar,OK,"signal_i=968, entry_i=969"
trade_0052:entry_after_signal_date,OK,"signal=2018-12-13 00:00:00, entry=2018-12-14 00:00:00"
trade_0052:exit_not_before_entry,OK,"entry_i=969, exit_i=969"
trade_0052:signal_column_true,OK,long_entry@968
trade_0052:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0052:entry_price,OK,"actual=9811.0, expected=9811.0"
trade_0052:entry_date_matches_index,OK,"actual=2018-12-14 00:00:00, index_dt=2018-12-14 00:00:00"
trade_0052:exit_bar_index,OK,"actual=969, expected=969"
trade_0052:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0052:exit_price,OK,"actual=9710.0, expected=9710.0"
trade_0052:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0052:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0053:entry_is_next_bar,OK,"signal_i=973, entry_i=974"
trade_0053:entry_after_signal_date,OK,"signal=2018-12-20 00:00:00, entry=2018-12-21 00:00:00"
trade_0053:exit_not_before_entry,OK,"entry_i=974, exit_i=981"
trade_0053:signal_column_true,OK,short_entry@973
trade_0053:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0053:entry_price,OK,"actual=9625.0, expected=9625.0"
trade_0053:entry_date_matches_index,OK,"actual=2018-12-21 00:00:00, index_dt=2018-12-21 00:00:00"
trade_0053:exit_bar_index,OK,"actual=981, expected=981"
trade_0053:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0053:exit_price,OK,"actual=9760.0, expected=9760.0"
trade_0053:pnl_points,OK,"actual=-135.0, expected=-135.0"
trade_0053:pnl_amount,OK,"actual=-6790.0, expected=-6790.0"
trade_0054:entry_is_next_bar,OK,"signal_i=986, entry_i=987"
trade_0054:entry_after_signal_date,OK,"signal=2019-01-09 00:00:00, entry=2019-01-10 00:00:00"
trade_0054:exit_not_before_entry,OK,"entry_i=987, exit_i=1018"
trade_0054:signal_column_true,OK,long_entry@986
