check,status,details
trade_0006:exit_price,OK,"actual=9344.0, expected=9344.0"
trade_0006:pnl_points,OK,"actual=247.0, expected=247.0"
trade_0006:pnl_amount,OK,"actual=12310.0, expected=12310.0"
trade_0007:entry_is_next_bar,OK,"signal_i=121, entry_i=122"
trade_0007:entry_after_signal_date,OK,"signal=2015-07-08 00:00:00, entry=2015-07-09 00:00:00"
trade_0007:exit_not_before_entry,OK,"entry_i=122, exit_i=122"
trade_0007:signal_column_true,OK,short_entry@121
trade_0007:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0007:entry_price,OK,"actual=8801.0, expected=8801.0"
trade_0007:entry_date_matches_index,OK,"actual=2015-07-09 00:00:00, index_dt=2015-07-09 00:00:00"
trade_0007:exit_bar_index,OK,"actual=122, expected=122"
trade_0007:exit_reason,OK,"actual=fixed_stop, expected=fixed_stop"
trade_0007:exit_price,OK,"actual=8902.0, expected=8902.0"
trade_0007:pnl_points,OK,"actual=-101.0, expected=-101.0"
trade_0007:pnl_amount,OK,"actual=-5090.0, expected=-5090.0"
trade_0008:entry_is_next_bar,OK,"signal_i=148, entry_i=149"
trade_0008:entry_after_signal_date,OK,"signal=2015-08-17 00:00:00, entry=2015-08-18 00:00:00"
trade_0008:exit_not_before_entry,OK,"entry_i=149, exit_i=154"
trade_0008:signal_column_true,OK,short_entry@148
trade_0008:entry_reason_present,OK,"macd_hist_cross_down({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_below_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_below_ma({""ma_type"": ""SMA"", ""per"
trade_0008:entry_price,OK,"actual=8235.0, expected=8235.0"
trade_0008:entry_date_matches_index,OK,"actual=2015-08-18 00:00:00, index_dt=2015-08-18 00:00:00"
trade_0008:exit_bar_index,OK,"actual=154, expected=154"
trade_0008:exit_reason,OK,"actual=chandelier, expected=chandelier"
trade_0008:exit_price,OK,"actual=7577.0, expected=7577.0"
trade_0008:pnl_points,OK,"actual=658.0, expected=658.0"
trade_0008:pnl_amount,OK,"actual=32860.0, expected=32860.0"
trade_0009:entry_is_next_bar,OK,"signal_i=202, entry_i=203"
trade_0009:entry_after_signal_date,OK,"signal=2015-11-04 00:00:00, entry=2015-11-05 00:00:00"
trade_0009:exit_not_before_entry,OK,"entry_i=203, exit_i=204"
trade_0009:signal_column_true,OK,long_entry@202
trade_0009:entry_reason_present,OK,"macd_hist_cross_up({""fast"": 12, ""signal"": 9, ""slow"": 26}) AND close_above_bollinger_mid({""period"": 20, ""std"": 2.0}) AND close_above_ma({""ma_type"": ""SMA"", ""perio"
trade_0009:entry_price,OK,"actual=8878.0, expected=8878.0"
trade_0009:entry_date_matches_index,OK,"actual=2015-11-05 00:00:00, index_dt=2015-11-05 00:00:00"
